590700.6745847858,6136763.346363522,20.2,32,N,U
590700.6652738383,6136763.490888801,20.221,32,N,U
590700.6688663248,6136763.624547275,20.22,32,N,U
590700.6851335062,6136763.758466298,20.218,32,N,U
590700.7014006864,6136763.892385318,20.217,32,N,U
590700.7047644326,6136764.037171143,20.225,32,N,U
590700.7083569167,6136764.170829618,20.249,32,N,U
590700.7182867473,6136764.304618367,20.254,32,N,U
590700.7157706225,6136764.427019219,20.243,32,N,U
590700.7132544976,6136764.549420069,20.228,32,N,U
590700.7039435491,6136764.693945348,20.233,32,N,U
590700.6885239937,6136764.827213004,20.252,32,N,U
590700.6794417846,6136764.960610932,20.261,32,N,U
590700.6708170532,6136765.071754159,20.259,32,N,U
590700.6680721906,6136765.205282361,20.245,32,N,U
590700.6526526371,6136765.338550017,20.244,32,N,U
590700.649679036,6136765.483205569,20.264,32,N,U
590700.6408255672,6136765.605476148,20.283,32,N,U
590700.6446467882,6136765.728007274,20.28,32,N,U
590700.6419019256,6136765.861535476,20.272,32,N,U
590700.6393858016,6136765.983936327,20.27,32,N,U
590700.6239662506,6136766.117203983,20.285,32,N,U
590700.6148840442,6136766.250601911,20.313,32,N,U
590700.6060305767,6136766.372872489,20.325,32,N,U
590700.5974058481,6136766.48401572,20.314,32,N,U
590700.5819862993,6136766.617283375,20.294,32,N,U
590700.573132833,6136766.7395539535,20.291,32,N,U
590700.5640506285,6136766.872951883,20.3,32,N,U
590700.5547396858,6136767.017477163,20.316,32,N,U
590700.5397776163,6136767.128490117,20.318,32,N,U
590700.5243580705,6136767.261757774,20.302,32,N,U
590700.502601183,6136767.394895157,20.287,32,N,U
590700.4745069545,6136767.527902268,20.296,32,N,U
590700.458629935,6136767.683424626,20.317,32,N,U
590700.443210393,6136767.8166922815,20.323,32,N,U
590700.4341281928,6136767.95009021,20.315,32,N,U
590700.41893739,6136768.072230518,20.292,32,N,U
590700.3969517705,6136768.216495251,20.295,32,N,U
590700.3813034929,6136768.360890258,20.317,32,N,U
590700.3656552163,6136768.505285265,20.335,32,N,U
590700.356801757,6136768.627555845,20.338,32,N,U
590700.3540569005,6136768.761084048,20.325,32,N,U
590700.344974704,6136768.8944819765,20.315,32,N,U
590700.3358925072,6136769.027879907,20.326,32,N,U
590700.3329189129,6136769.17253546,20.34,32,N,U
590700.324065455,6136769.294806041,20.338,32,N,U
590700.3152119976,6136769.417076619,20.318,32,N,U
590700.3061298021,6136769.55047455,20.301,32,N,U
590700.3031562084,6136769.695130102,20.308,32,N,U
590700.3001826145,6136769.839785655,20.325,32,N,U
590700.2974377585,6136769.973313858,20.328,32,N,U
590700.2946929026,6136770.1068420615,20.318,32,N,U
590700.2792733699,6136770.24010972,20.3,32,N,U
590700.2762997764,6136770.384765272,20.305,32,N,U
590700.2730974447,6136770.540548176,20.33,32,N,U
590700.2640152513,6136770.673946107,20.336,32,N,U
590700.2551617962,6136770.796216686,20.325,32,N,U
590700.2585255399,6136770.941002512,20.3,32,N,U
590700.2618892833,6136771.085788338,20.297,32,N,U
590700.271361625,6136771.241831787,20.315,32,N,U
590700.2747253674,6136771.386617614,20.344,32,N,U
590700.2656431743,6136771.520015545,20.353,32,N,U
590700.2499949074,6136771.664410553,20.335,32,N,U
590700.2406839771,6136771.808935833,20.319,32,N,U
590700.2248069738,6136771.964458191,20.338,32,N,U
590700.2154960445,6136772.108983471,20.353,32,N,U
590700.2122937132,6136772.264766376,20.346,32,N,U
590700.2036689984,6136772.375909605,20.322,32,N,U
590700.2006954051,6136772.520565159,20.3,32,N,U
590700.1974930739,6136772.676348063,20.297,32,N,U
590700.1942907424,6136772.832130967,20.322,32,N,U
590700.1786424803,6136772.976525975,20.338,32,N,U
590700.1634516947,6136773.098666283,20.333,32,N,U
590700.1414661001,6136773.2429310195,20.32,32,N,U
590700.1255891027,6136773.398453379,20.327,32,N,U
590700.1033747726,6136773.553845465,20.34,32,N,U
590700.0879552524,6136773.687113124,20.339,32,N,U
590700.0725357331,6136773.820380782,20.326,32,N,U
590700.0510076192,6136773.942390817,20.301,32,N,U
590700.0351306263,6136774.097913178,20.292,32,N,U
590700.0258197043,6136774.242438461,20.309,32,N,U
590700.0101714504,6136774.386833469,20.323,32,N,U
590699.9949806721,6136774.508973775,20.318,32,N,U
590699.9795611573,6136774.642241436,20.294,32,N,U
590699.9575755738,6136774.786506174,20.28,32,N,U
590699.9484933923,6136774.919904105,20.292,32,N,U
590699.9328451421,6136775.064299114,20.299,32,N,U
590699.9174256301,6136775.197566774,20.289,32,N,U
590699.8956687879,6136775.330704161,20.263,32,N,U
590699.8739119469,6136775.463841549,20.239,32,N,U
590699.858034963,6136775.619363909,20.243,32,N,U
590699.8487240473,6136775.763889191,20.259,32,N,U
590699.8333045393,6136775.897156851,20.256,32,N,U
590699.8052103721,6136776.030163966,20.241,32,N,U
590699.7834535361,6136776.163301355,20.227,32,N,U
590699.7675765565,6136776.318823714,20.235,32,N,U
590699.7582656442,6136776.463348998,20.257,32,N,U
590699.7428461403,6136776.596616657,20.262,32,N,U
590699.740101295,6136776.730144861,20.252,32,N,U
590699.7307903838,6136776.874670144,20.226,32,N,U
590699.7278168014,6136777.019325699,20.22,32,N,U
590699.7185058909,6136777.163850981,20.227,32,N,U
590699.7155323087,6136777.308506535,20.228,32,N,U
590699.7003415447,6136777.430646846,20.222,32,N,U
590699.6849220444,6136777.563914506,20.207,32,N,U
590699.6690450709,6136777.719436867,20.208,32,N,U
590699.6533968351,6136777.863831879,20.228,32,N,U
590699.6316400099,6136777.996969269,20.235,32,N,U
590699.6164492498,6136778.1191095775,20.22,32,N,U
590699.5946924265,6136778.2522469675,20.188,32,N,U
590699.5790441943,6136778.396641978,20.178,32,N,U
590699.569733289,6136778.541167261,20.188,32,N,U
590699.5540850582,6136778.685562273,20.204,32,N,U
590699.5388943015,6136778.807702584,20.208,32,N,U
590699.5171374831,6136778.940839973,20.188,32,N,U
590699.495151929,6136779.085104712,20.166,32,N,U
590699.4792749648,6136779.240627075,20.176,32,N,U
590699.4636267383,6136779.385022088,20.192,32,N,U
590699.4420986606,6136779.507032127,20.19,32,N,U
590699.4264504355,6136779.651427139,20.171,32,N,U
590699.4173682724,6136779.784825072,20.153,32,N,U
590699.414165961,6136779.940607978,20.154,32,N,U
590699.4173009736,6136780.096521154,20.18,32,N,U
590699.4018814869,6136780.2297888165,20.189,32,N,U
590699.3864620011,6136780.363056478,20.169,32,N,U
590699.3579103961,6136780.518318297,20.14,32,N,U
590699.3420334394,6136780.673840661,20.143,32,N,U
590699.3198191605,6136780.829232753,20.16,32,N,U
590699.3107370011,6136780.9626306845,20.156,32,N,U
590699.2889801969,6136781.095768076,20.147,32,N,U
590699.2735607162,6136781.229035738,20.131,32,N,U
590699.2640210862,6136781.384688375,20.128,32,N,U
590699.2479153979,6136781.551338089,20.147,32,N,U
590699.2324959193,6136781.68460575,20.157,32,N,U
590699.2170764416,6136781.817873413,20.148,32,N,U
590699.1950909068,6136781.962138155,20.129,32,N,U
590699.1667680523,6136782.106272626,20.13,32,N,U
590699.1511198411,6136782.250667639,20.15,32,N,U
590699.1354716308,6136782.3950626515,20.15,32,N,U
590699.1200521574,6136782.528330315,20.136,32,N,U
590699.1046326845,6136782.661597978,20.112,32,N,U
590699.0826471564,6136782.805862721,20.104,32,N,U
590699.0669989493,6136782.950257734,20.121,32,N,U
590699.0511220073,6136783.105780098,20.142,32,N,U
590699.0359312736,6136783.227920411,20.145,32,N,U
590699.0205118048,6136783.361188075,20.129,32,N,U
590699.0048636008,6136783.505583089,20.117,32,N,U
590698.9957814524,6136783.638981023,20.129,32,N,U
590698.9801332499,6136783.783376037,20.151,32,N,U
590698.9586052008,6136783.90538608,20.154,32,N,U
590698.9368484173,6136784.038523473,20.135,32,N,U
590698.9212002174,6136784.182918487,20.111,32,N,U
590698.9055520181,6136784.327313501,20.114,32,N,U
590698.8962411376,6136784.471838786,20.134,32,N,U
590698.8808216754,6136784.60510645,20.142,32,N,U
590698.8590648967,6136784.7382438425,20.135,32,N,U
590698.8373081188,6136784.871381236,20.119,32,N,U
590698.8155513421,6136785.004518631,20.12,32,N,U
590698.7935658311,6136785.148783375,20.145,32,N,U
590698.7718090568,6136785.281920768,20.155,32,N,U
590698.7627269162,6136785.415318702,20.14,32,N,U
590698.7409701436,6136785.548456097,20.118,32,N,U
590698.7316592692,6136785.692981384,20.12,32,N,U
590698.7160110789,6136785.837376399,20.139,32,N,U
590698.6942543093,6136785.970513795,20.147,32,N,U
590698.6724975406,6136786.103651187,20.14,32,N,U
590698.650969508,6136786.225661232,20.116,32,N,U
590698.6289840066,6136786.369925978,20.112,32,N,U
590698.6135645562,6136786.503193643,20.134,32,N,U
590698.6044824211,6136786.636591577,20.143,32,N,U
590698.5956290216,6136786.758862162,20.126,32,N,U
590698.5804383077,6136786.881002478,20.095,32,N,U
590698.571127439,6136787.025527764,20.088,32,N,U
590698.5554792568,6136787.169922779,20.095,32,N,U
590698.5463971238,6136787.303320716,20.102,32,N,U
590698.524869099,6136787.425330762,20.103,32,N,U
590698.4970037619,6136787.547210536,20.087,32,N,U
